,objID,z_phot,odds,D_L_Mpc,Absolute_Mag_r,Calculated_Flux
392237,134031480435902106,0.107705176,0.6839258276527107,449.8674202597586,-19.197604263893396,8.56786511691645e-05
392395,134041480717542677,0.4184628,0.38667453367706206,1615.2727397399526,-20.916634958081147,3.237145765995003e-05
392429,134041480106789464,0.0492653,0.940711845173813,208.62852374386344,-21.460493988680653,0.0032022130676845895
392456,134011480279577576,0.5111897,0.32595270615571714,1925.1254648092654,-20.5319026852771,1.598979871213664e-05
392523,134081480543313755,0.40950838,0.25459452556988293,1584.450707475957,-20.614958934001407,2.5481565618965997e-05
392542,134081480609335311,0.83719623,0.5759171147827691,2888.3355546455027,-21.01191080730382,1.1052716491436116e-05
392579,134051479993828137,0.35352886,0.3687261682751808,1388.1068521669113,-20.506041466870787,3.0031068918715347e-05
392661,134051480336563358,0.039093513,0.8761280631892486,165.94309443792272,-21.275578274555926,0.0042688701145057835
392687,134081480724146905,0.20753385,0.39395418648084357,845.8960547224821,-20.39161764815394,7.278016912415183e-05
392727,134091480095986224,0.043501247,0.8564820051943159,184.465513019705,-22.192176954427815,0.008036008986470772
392752,134091480205851473,0.14911078,0.5157547049580417,616.6068278486431,-19.12193883519641,4.2536218199935416e-05
392777,134091480300002216,0.20661062,0.3934929521210809,842.3268890293192,-20.05526150430114,5.3844738548622976e-05
392845,134061480087646203,0.041280515,0.7776390569673124,175.13786104892193,-20.50539702159034,0.0018853792622819862
392850,134061480097758449,0.11628133,0.5154442075393049,484.6901072008337,-20.364068180039055,0.0002161219915003795
393029,134061480398615003,0.09565926,0.7696717752255333,400.70447910921814,-20.40710263365012,0.0003289975466273826
393049,134061480609152573,0.31926975,0.28365771324784467,1264.8064639110648,-20.366632429511228,3.181301417183788e-05
393151,134101480407138910,0.22454076,0.5720580116883456,911.3187094753002,-20.711800563349534,8.42130995647875e-05
393182,134101480519261716,0.23736335,0.5185587607991176,960.2509073261658,-20.702257185126264,7.518538391113264e-05
393188,134101480569608330,0.2913206,0.42149996894398667,1162.4336177477264,-20.52120932554186,4.342575797261807e-05
393192,134101480575260572,0.475017,0.3925461312188845,1806.2577915744453,-20.940821700804996,2.6470930837087005e-05
393233,134071480159438731,0.47130704,0.29241030266310175,1793.921886637915,-20.74801031319807,2.2469689355011274e-05
393322,134111480347301419,0.051011376,0.7285349257423916,215.9357431010144,-22.569560787717776,0.00830185691619855
393341,134021480438849703,0.63853246,0.44682498722848735,2323.837222789387,-20.582878304812663,1.1501114157440227e-05
393403,134041480482562417,0.20271161,0.4096550892682713,827.2372921137726,-19.62526070126848,3.757024886753627e-05
