,raMean,decMean,gMeanKronMag,rMeanKronMag,iMeanKronMag,zMeanKronMag,yMeanKronMag,gMeanKronMagErr,rMeanKronMagErr,iMeanKronMagErr,zMeanKronMagErr,yMeanKronMagErr,spec_redshift,spec_redshift_error
84,0.5472649553200695,-10.406980925090716,-999.0,21.249500274658203,20.17280006408692,19.639799118041992,19.60980033874512,-999.0,0.1295700073242187,0.0418029986321926,0.0641380026936531,0.0817520022392273,0.07788508,9.82428e-06
85,0.54715415,-10.7657845,-999.0,-999.0,20.813600540161133,-999.0,-999.0,-999.0,-999.0,0.1148030012845993,-999.0,-999.0,0.4862165,0.0001581955
86,0.5489846277774547,-11.12481475397356,18.77630043029785,17.75909996032715,17.3341007232666,17.17930030822754,17.39739990234375,0.0406219996511936,0.0093010002747178,0.0091030001640319,0.0119820004329085,0.0176079999655485,0.07657376,7.40009e-06
87,0.5712631752021469,-10.459957972784544,-999.0,20.870899200439453,20.309499740600582,19.960599899291992,19.82469940185547,-999.0,0.0766410008072853,0.0941620022058487,0.0317279994487762,0.0510430000722408,0.08631793,2.871609e-05
88,0.5714654935403526,-10.467321813535722,-999.0,21.02070045471192,19.88190078735352,19.38319969177246,19.243099212646484,-999.0,0.0652550011873245,0.0728840008378028,0.0981009975075721,0.1732040047645568,0.2789186,6.305572e-05
89,0.5725475547303491,-10.678056312674755,17.828800201416016,17.010299682617188,16.599199295043945,16.404399871826172,16.26609992980957,0.0104740001261234,0.0096880001947283,0.006794000044465,0.0094999996945261,0.0162409991025924,0.07735987,3.002443e-05
90,0.572930691704928,-10.932149337889884,-999.0,20.74810028076172,20.17770004272461,19.734600067138672,19.46260070800781,-999.0,0.0871570035815239,0.0511169992387294,0.038256000727415,0.0523770004510879,0.07685644,2.873272e-05
91,0.5758884242314039,-11.027637561916478,17.681800842285156,16.88920021057129,16.524200439453125,16.279499053955078,16.10689926147461,0.0066249999217689,0.0063590002246201,0.0193980000913143,0.0098689999431371,0.0184979997575283,0.1721313,4.867484e-05
92,0.57695583,-10.60114815,-999.0,19.98929977416992,19.11030006408692,18.79560089111328,18.61709976196289,-999.0,0.008293000049889,0.0513430014252662,0.025645000860095,0.03982799872756,0.08231584,1.279131e-05
93,0.5822679687405077,-10.220109315807756,20.13719940185547,18.51180076599121,17.965900421142578,17.891300201416016,17.682899475097656,0.0671790018677711,0.0298030003905296,0.0401640012860298,0.0334959998726844,0.0081989997997879,0.1045364,7.615052e-06
94,0.5865026972110402,-10.34608501386807,21.659500122070312,20.6427001953125,19.9197006225586,19.5177001953125,19.3356990814209,0.3115119934082031,0.049125999212265,0.0341380015015602,0.045193001627922,0.081385999917984,0.4638501,0.0001211141
95,0.5936230296755622,-10.268179713751897,21.043699264526367,20.443099975585938,19.980199813842773,19.42720031738281,19.3134994506836,0.1596779972314834,0.0706219971179962,0.0638640001416206,0.0420240014791488,0.2075390070676803,0.4012617,0.000115904
96,0.6043050959586853,-10.659856660177446,-999.0,20.155500411987305,19.48509979248047,19.141300201416016,19.002599716186523,-999.0,0.02857599966228,0.0420809984207153,0.0504940003156662,0.0657270029187202,0.02315946,1.001889e-05
97,0.6072826575674642,-10.271980472901577,-999.0,21.089599609375,20.16449928283692,19.8257999420166,19.342300415039062,-999.0,0.0919800028204917,0.0489399991929531,0.0523889996111393,0.1427440047264099,0.1195876,1.70051e-05
98,0.611135624759779,-10.932933127734303,17.984600067138672,17.292999267578125,16.959299087524414,16.77989959716797,16.5531005859375,0.0215080007910728,0.0162860006093978,0.0110139995813369,0.0124949999153614,0.0458009988069534,0.1137078,2.911414e-05
99,0.6141236797682258,-10.276380372153277,21.62030029296875,20.57200050354004,19.706100463867188,19.44300079345703,19.18829917907715,0.2382539957761764,0.0393790006637573,0.0227979999035596,0.064869999885559,0.037636000663042,0.1227809,3.194928e-05
100,0.6183922053793688,-10.621071589971402,-999.0,21.02589988708496,20.286300659179688,20.100000381469727,19.74360084533692,-999.0,0.1785759925842285,0.050510998815298,0.0520440004765987,0.0914039984345436,0.07631767,1.507353e-05
101,0.6215379894643291,-10.68540600992718,-999.0,20.754600524902344,19.847000122070312,19.550800323486328,19.30299949645996,-999.0,0.1121419966220855,0.037296999245882,0.0750809982419014,0.1057490035891532,0.1491306,1.029273e-05
