objID,ra,dec
102270042366675224,4.236668,-4.77100025
102270042371167092,4.23712272,-4.76943436
102270042371393581,4.23712986,-4.77237549
102270042371415795,4.23714366,-4.77051561
102270042371782927,4.23716748,-4.77290394
102270042373400283,4.23734849,-4.77511048
102270042373971415,4.2374564576867115,-4.77437994352162
102270042377784698,4.23778021,-4.77142993
102270042378907948,4.23789664,-4.76871709
102270042381035493,4.23810935,-4.77076681
102270042387024003,4.23869,-4.77202487
102270042389184243,4.23892498,-4.77180857
102270042389859780,4.23910755,-4.76723444
102270042394967924,4.239528,-4.7688059
102270042395768577,4.239474817071227,-4.7683507436354375
102270042396511639,4.23965283,-4.77397884
102270042396632928,4.23958353,-4.77292657
102270042397386852,4.23973823,-4.76964345
102270042399618235,4.23996746,-4.76848467
102270042408852713,4.24089501,-4.77309016
102270042411297186,4.24116511,-4.76941175
102270042411851709,4.2413652,-4.77393728
102270042414087835,4.24144407,-4.76887137
102270042414129438,4.2414148,-4.76748464
102270042419298700,4.24192945,-4.76809796
102270042420784724,4.2421431,-4.7714519
102270042422662866,4.24227125,-4.7729483
102270042425349814,4.24256984,-4.76722875
102270042427699007,4.24280179,-4.76790332
102270042431311077,4.24311915,-4.77446165
102270042436593000,4.2436373,-4.77285575
102270042438633756,4.243897906365262,-4.772241235081579
102270042440055940,4.24401009,-4.77039549
102270042444425049,4.24443902,-4.7711402
102270042446358511,4.2446648,-4.76831597
102270042449022598,4.24489819,-4.77318676
102270042449423533,4.24494424,-4.772405
102270042449924342,4.24499667,-4.77172698
102270042450365853,4.24506682,-4.77053187
102270042454483667,4.24544755,-4.7722903
102270042460512717,4.24605531,-4.77308099
102270042461695075,4.24619933,-4.7711804
102270042463853679,4.24638174,-4.77234779
102210042553653793,4.25537082,-4.82217287
102210042560639733,4.25607653,-4.8172721
102210042564913785,4.25648169,-4.82218197
102210042571909966,4.25721939,-4.81708466
102210042600742968,4.260107975550146,-4.822881661521171
102210042615703460,4.26159706,-4.82251096
102210042626842560,4.26267964,-4.82320392
102210042659934815,4.26598048,-4.82133435
102210042663599184,4.26638027,-4.81774276
102210042663973210,4.26641883,-4.82271625
102210042672727454,4.26730415,-4.81917079
102210042683747451,4.2683799,-4.81913756
102210042686794080,4.26867965,-4.82193973
102210042700518468,4.27004666,-4.81828536
102210042701439816,4.27014404,-4.81715961
102210042705037705,4.27050395,-4.8189184
102210042713324113,4.27131509,-4.82190927
102210042716257676,4.27163877,-4.81900883
102210042724996028,4.27248212,-4.82031656
102210042729543539,4.2729436,-4.82239674
102210042730247652,4.27301863,-4.81896492
102210042740857038,4.27408521,-4.81947501
102210042742074058,4.274181,-4.82196736
102210042747058344,4.2746926,-4.81838747
102210042747074486,4.27468186,-4.82160879
102210042747676363,4.27472952,-4.82004229
102210042749747632,4.27496469,-4.81898163
102210042750438840,4.27506356,-4.81803288
102210042750779300,4.27507378,-4.81758741
102210042751707218,4.2751569,-4.81932916
102210042752015357,4.27524439,-4.82089697
102210042753655690,4.27535482,-4.8206002
102210042757159772,4.2757084,-4.81720047
102210042760668626,4.27603909,-4.81816207
102210042761689631,4.27613368,-4.81731773
102210042761739124,4.27616523,-4.81773879
102210042762067850,4.27619898,-4.81880237
102210042762977040,4.2762937,-4.81947176
102210042766999582,4.27672285,-4.81741419
102210042770508156,4.27704129,-4.81854219
102210042772707024,4.27726224,-4.81948786
